course,shift,modality,min,max
ADMINISTRAÇÃO,Matutino,1.1,"556,76","561,02"
ADMINISTRAÇÃO,Matutino,1.2,"661,22","714,06"
ADMINISTRAÇÃO,Matutino,2.1,"524,7","610,1"
ADMINISTRAÇÃO,Matutino,2.2,"686,72","694,48"
ADMINISTRAÇÃO,Matutino,3.1,"588,9","649,92"
ADMINISTRAÇÃO,Matutino,3.2,"677,98","695,9"
ADMINISTRAÇÃO,Matutino,4.1,"595,02","595,02"
ADMINISTRAÇÃO,Matutino,4.2,"677,56","712,04"
ADMINISTRAÇÃO,Matutino,x,"718,7","775,66"
ADMINISTRAÇÃO,Noturno,1.1,"557,68","585,14"
ADMINISTRAÇÃO,Noturno,1.2,"668,16","672,48"
ADMINISTRAÇÃO,Noturno,2.1,"565,84","629,28"
ADMINISTRAÇÃO,Noturno,2.2,"672,46","700,98"
ADMINISTRAÇÃO,Noturno,3.1,"571,54","581,02"
ADMINISTRAÇÃO,Noturno,3.2,"688,2","703,42"
ADMINISTRAÇÃO,Noturno,4.1,"558,04","588,56"
ADMINISTRAÇÃO,Noturno,4.2,"695,3","722,68"
ADMINISTRAÇÃO,Noturno,x,"722,56","761,32"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.1,"555,68","555,68"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.2,"617,94","657,46"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,2.1,"587,44","587,44"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,2.2,"649,12","665,26"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.1,"543,5","564,48"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.2,"631,58","667,7"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,4.1,"562,34","562,34"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,4.2,"652,44","688,4"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,x,"657,76","716,84"
AGRONOMIA,Matutino,1.1,"534,86","586,14"
AGRONOMIA,Matutino,1.2,"616,48","645,86"
AGRONOMIA,Matutino,2.1,"559,12","559,12"
AGRONOMIA,Matutino,2.2,"630,06","676,46"
AGRONOMIA,Matutino,3.1,"503,7","593,3"
AGRONOMIA,Matutino,3.2,"619,34","688,18"
AGRONOMIA,Matutino,4.1,"508,16","508,16"
AGRONOMIA,Matutino,4.2,"581,34","709,02"
AGRONOMIA,Matutino,x,"633,76","711,54"
ANTROPOLOGIA,Noturno,1.1,"284,76","511,84"
ANTROPOLOGIA,Noturno,1.2,"632,18","641,68"
ANTROPOLOGIA,Noturno,2.2,"652,18","691,52"
ANTROPOLOGIA,Noturno,3.1,"544,4","544,4"
ANTROPOLOGIA,Noturno,3.2,"654,6","682,18"
ANTROPOLOGIA,Noturno,4.1,"578,78","578,78"
ANTROPOLOGIA,Noturno,4.2,"676,4","719,9"
ANTROPOLOGIA,Noturno,x,"679,22","748,18"
AQUACULTURA,Matutino,1.1,"471,48","607,1"
AQUACULTURA,Matutino,1.2,611,"646,24"
AQUACULTURA,Matutino,2.1,"597,3","597,3"
AQUACULTURA,Matutino,2.2,"598,84","640,8"
AQUACULTURA,Matutino,3.1,"439,8","540,78"
AQUACULTURA,Matutino,3.2,"590,52","642,06"
AQUACULTURA,Matutino,4.1,"412,16","412,16"
AQUACULTURA,Matutino,4.2,"634,74","686,5"
AQUACULTURA,Matutino,x,"640,4","714,98"
ARQUITETURA E URBANISMO,Matutino,1.1,"556,16",587
ARQUITETURA E URBANISMO,Matutino,1.2,"679,76","738,52"
ARQUITETURA E URBANISMO,Matutino,2.1,"605,04","723,76"
ARQUITETURA E URBANISMO,Matutino,2.2,"708,08","718,78"
ARQUITETURA E URBANISMO,Matutino,3.1,"507,12","618,06"
ARQUITETURA E URBANISMO,Matutino,3.2,"694,74","739,3"
ARQUITETURA E URBANISMO,Matutino,4.1,"551,96","616,18"
ARQUITETURA E URBANISMO,Matutino,4.2,"720,22","764,44"
ARQUITETURA E URBANISMO,Matutino,x,"745,72","787,32"
ARQUITETURA E URBANISMO,Noturno,1.1,"524,62","603,56"
ARQUITETURA E URBANISMO,Noturno,1.2,"675,1","728,36"
ARQUITETURA E URBANISMO,Noturno,2.1,"576,4","630,34"
ARQUITETURA E URBANISMO,Noturno,2.2,"698,4","723,34"
ARQUITETURA E URBANISMO,Noturno,3.1,"618,9","669,28"
ARQUITETURA E URBANISMO,Noturno,3.2,690,"711,96"
ARQUITETURA E URBANISMO,Noturno,4.1,"597,7","597,7"
ARQUITETURA E URBANISMO,Noturno,4.2,"713,82","736,14"
ARQUITETURA E URBANISMO,Noturno,x,"733,5","773,02"
ARQUIVOLOGIA,Noturno,1.1,"473,34","594,42"
ARQUIVOLOGIA,Noturno,1.2,"619,42","651,54"
ARQUIVOLOGIA,Noturno,2.1,"511,62","557,34"
ARQUIVOLOGIA,Noturno,2.2,"618,66","631,1"
ARQUIVOLOGIA,Noturno,3.1,"528,24","528,24"
ARQUIVOLOGIA,Noturno,3.2,"615,1","652,1"
ARQUIVOLOGIA,Noturno,4.1,"532,52","532,52"
ARQUIVOLOGIA,Noturno,4.2,"652,14","666,82"
ARQUIVOLOGIA,Noturno,x,"634,92","725,78"
BIBLIOTECONOMIA,Matutino,1.1,"489,94","600,38"
BIBLIOTECONOMIA,Matutino,1.2,"608,34","644,22"
BIBLIOTECONOMIA,Matutino,2.1,"535,34","558,84"
BIBLIOTECONOMIA,Matutino,2.2,"619,52","648,2"
BIBLIOTECONOMIA,Matutino,3.1,"477,22","509,46"
BIBLIOTECONOMIA,Matutino,3.2,"612,64","657,22"
BIBLIOTECONOMIA,Matutino,4.1,"456,5","599,82"
BIBLIOTECONOMIA,Matutino,4.2,"625,06",657
BIBLIOTECONOMIA,Matutino,x,"626,8","700,96"
BIBLIOTECONOMIA,Noturno,1.1,"612,54","612,54"
BIBLIOTECONOMIA,Noturno,1.2,"624,86","639,64"
BIBLIOTECONOMIA,Noturno,2.1,"514,94","514,94"
BIBLIOTECONOMIA,Noturno,2.2,"615,48","641,16"
BIBLIOTECONOMIA,Noturno,3.1,"487,26","487,26"
BIBLIOTECONOMIA,Noturno,3.2,"618,1","654,76"
BIBLIOTECONOMIA,Noturno,4.1,"483,04","483,04"
BIBLIOTECONOMIA,Noturno,4.2,"642,6","674,5"
BIBLIOTECONOMIA,Noturno,x,"634,86","724,94"
BIOMEDICINA,Noturno,1.1,"589,62","618,1"
BIOMEDICINA,Noturno,1.2,"686,78","709,56"
BIOMEDICINA,Noturno,2.1,"607,8","607,8"
BIOMEDICINA,Noturno,2.2,"701,54","721,72"
BIOMEDICINA,Noturno,3.1,"530,94","627,98"
BIOMEDICINA,Noturno,3.2,"695,94","718,08"
BIOMEDICINA,Noturno,4.1,"630,02","662,44"
BIOMEDICINA,Noturno,4.2,"717,76","732,14"
BIOMEDICINA,Noturno,x,"734,36","782,2"
CIÊNCIA DA COMPUTAÇÃO,Matutino,1.1,"560,02","592,34"
CIÊNCIA DA COMPUTAÇÃO,Matutino,1.2,"681,42","719,12"
CIÊNCIA DA COMPUTAÇÃO,Matutino,2.1,"569,04","623,54"
CIÊNCIA DA COMPUTAÇÃO,Matutino,2.2,"690,36","758,5"
CIÊNCIA DA COMPUTAÇÃO,Matutino,3.1,"521,5","609,76"
CIÊNCIA DA COMPUTAÇÃO,Matutino,3.2,"693,32","726,9"
CIÊNCIA DA COMPUTAÇÃO,Matutino,4.1,"577,84","628,14"
CIÊNCIA DA COMPUTAÇÃO,Matutino,4.2,"734,26","774,54"
CIÊNCIA DA COMPUTAÇÃO,Matutino,x,"744,84","823,08"
CIÊNCIAS ATUARIAIS,Matutino,1.1,"505,8","505,8"
CIÊNCIAS ATUARIAIS,Matutino,1.2,"651,4","673,68"
CIÊNCIAS ATUARIAIS,Matutino,2.2,"628,94","668,7"
CIÊNCIAS ATUARIAIS,Matutino,3.1,"519,98","519,98"
CIÊNCIAS ATUARIAIS,Matutino,3.2,"642,54","673,82"
CIÊNCIAS ATUARIAIS,Matutino,4.2,"680,5","680,68"
CIÊNCIAS ATUARIAIS,Matutino,x,"693,42","753,4"
CIÊNCIAS BIOLÓGICAS,Matutino,1.1,"505,68","574,34"
CIÊNCIAS BIOLÓGICAS,Matutino,1.2,"668,86","692,26"
CIÊNCIAS BIOLÓGICAS,Matutino,2.1,"495,68","557,86"
CIÊNCIAS BIOLÓGICAS,Matutino,2.2,"665,22","717,94"
CIÊNCIAS BIOLÓGICAS,Matutino,3.1,"492,82","569,98"
CIÊNCIAS BIOLÓGICAS,Matutino,3.2,"674,9","725,28"
CIÊNCIAS BIOLÓGICAS,Matutino,4.1,"517,3","597,72"
CIÊNCIAS BIOLÓGICAS,Matutino,4.2,"678,7","714,26"
CIÊNCIAS BIOLÓGICAS,Matutino,x,"712,58","779,68"
CIÊNCIAS BIOLÓGICAS,Noturno,1.1,"537,76","559,12"
CIÊNCIAS BIOLÓGICAS,Noturno,1.2,"653,3","687,14"
CIÊNCIAS BIOLÓGICAS,Noturno,2.1,"515,62","596,34"
CIÊNCIAS BIOLÓGICAS,Noturno,2.2,655,"677,82"
CIÊNCIAS BIOLÓGICAS,Noturno,3.1,"518,18","547,02"
CIÊNCIAS BIOLÓGICAS,Noturno,3.2,"661,5","677,62"
CIÊNCIAS BIOLÓGICAS,Noturno,4.1,"404,44","563,92"
CIÊNCIAS BIOLÓGICAS,Noturno,4.2,"682,92","715,58"
CIÊNCIAS BIOLÓGICAS,Noturno,x,"692,84","755,5"
CIÊNCIAS CONTÁBEIS,Noturno,1.1,"582,54","585,68"
CIÊNCIAS CONTÁBEIS,Noturno,1.2,"666,42","679,38"
CIÊNCIAS CONTÁBEIS,Noturno,2.1,"529,7","639,02"
CIÊNCIAS CONTÁBEIS,Noturno,2.2,"674,76","694,1"
CIÊNCIAS CONTÁBEIS,Noturno,3.1,537,"604,54"
CIÊNCIAS CONTÁBEIS,Noturno,3.2,"665,82","692,6"
CIÊNCIAS CONTÁBEIS,Noturno,4.1,"558,66","654,24"
CIÊNCIAS CONTÁBEIS,Noturno,4.2,"693,76","748,32"
CIÊNCIAS CONTÁBEIS,Noturno,x,"706,92","755,86"
CIÊNCIAS DO ESTADO,Vespertino,1.1,"537,3","548,82"
CIÊNCIAS DO ESTADO,Vespertino,1.2,"651,1","671,1"
CIÊNCIAS DO ESTADO,Vespertino,2.1,"492,02","520,86"
CIÊNCIAS DO ESTADO,Vespertino,2.2,"633,9","687,4"
CIÊNCIAS DO ESTADO,Vespertino,3.1,"595,5","635,08"
CIÊNCIAS DO ESTADO,Vespertino,3.2,"655,08","698,52"
CIÊNCIAS DO ESTADO,Vespertino,4.1,"651,04","651,04"
CIÊNCIAS DO ESTADO,Vespertino,4.2,"690,08","708,16"
CIÊNCIAS DO ESTADO,Vespertino,x,"691,24","744,9"
CIÊNCIAS ECONÔMICAS,Matutino,1.1,"527,46","538,34"
CIÊNCIAS ECONÔMICAS,Matutino,1.2,"676,42","718,9"
CIÊNCIAS ECONÔMICAS,Matutino,2.1,"587,96","633,26"
CIÊNCIAS ECONÔMICAS,Matutino,2.2,"698,9","717,92"
